word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
afraid,afraid,ә'freid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness","a. 害怕的, 恐怕的, 遗憾的",j:100,3,1,zk gk,1562,1400,afraid
after,after,'ɑ:ftә,"s. located farther aft
r. behind or in the rear","prep. 在...之后, 由于
conj. 在...之后
adv. 后来",i:68/c:31/r:1,5,1,zk gk,96,120,after
afternoon,afternoon,'ɑ:ftә'nu:n,n. the part of the day between noon and evening,"n. 午后, 下午",n:100,4,1,zk gk,1118,1191,afternoon
again,again,ә'gein,r. anew,"adv. 再一次, 又, 到原处",r:100,5,1,zk gk,156,184,again
against,against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when.","prep. 反对, 对着, 倚靠",i:100,5,1,zk gk cet4 ky,155,180,against
age,age,eidʒ,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older","n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟",v:7/n:93,5,1,zk gk toefl ielts,363,386,age
ago,ago,ә'gәu,"s. gone by; or in the past
r. in the past",adv. 以前,r:100,5,1,zk gk,504,316,ago
agree,agree,ә'gri:,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable","vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意",v:100,5,1,zk gk,401,514,agree
agreement,agreement,ә'gri:mәnt,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to","n. 同意, 合约, 协议
[经] 契约, 协议, 协定",n:100,4,1,zk gk ielts,623,1059,agreement
air,air,єә,"n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n. the region above the ground
n. a distinctive but intangible quality surrounding a person or thing
n. once thought to be one of four elements composing the universe (Empedocles)","n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀",v:3/n:97,5,1,zk gk toefl ielts,527,370,air
airline,airline,'єәlain,"n. a hose that carries air under pressure
n. a commercial enterprise that provides scheduled flights for passengers","n. 航线, 航线的设备, 航空公司",n:100,4,0,zk gk cet4 ky,3554,2128,airline
airplane,airplane,'єәplein,n. an aircraft that has a fixed wing and is powered by propellers or jets,"n. 飞机
[机] 飞机",n:100,2,0,zk gk cet4,21702,3519,airplane
airport,airport,'єәpɒ:t,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,"n. 飞机场
[机] 航空站, 机场",n:100,4,1,zk gk ielts,2541,1765,airport
alive,alive,ә'laiv,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting","a. 活着的, 活泼的, 敏感的, 热闹的",j:100,3,1,zk gk cet4 cet6 ky,2080,1532,alive
all,all,ɒ:l,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by","a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部",r:17/d:83,5,1,zk gk ielts,39,43,all
allow,allow,ә'lau,"v. let have
v. give or assign a resource to a particular person or cause
v. allow or plan for a certain possibility; concede the truth or validity of something
v. grant as a discount or in exchange","vt. 允许, 同意给予, 承认
vi. 容许, 猜想
[计] 允许命令",v:100,5,1,zk gk cet4 ky,257,339,allow
almost,almost,'ɒ:lmәust,r (of actions or states) slightly short of or not quite accomplished; all but,"adv. 几乎, 差不多",r:100,5,1,zk gk,280,291,almost
alone,alone,ә'lәun,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal","a. 孤独的, 单独的, 独自的
adv. 独自地",r:60/j:40,4,1,zk gk cet4 ky toefl ielts,1297,1097,alone
along,along,ә'lɒŋ,"r. with a forward motion
r. in accompaniment or as a companion
r. to a more advanced state
r. in addition (usually followed by `with')","adv. 平行地, 向前
prep. 沿着",i:72/r:28,5,1,zk gk,823,447,along
aloud,aloud,ә'laud,r. using the voice; not silently,"adv. 出声地, 大声地",r:100,1,1,zk gk cet4 ky,5849,5694,aloud
already,already,ɒ:l'redi,r. prior to a specified or implied time,"adv. 已经, 早已",r:100,5,1,zk gk,255,334,already
also,also,'ɒ:lsәu,r in addition,"adv. 也, 并且, 同样地",r:100,5,1,zk gk,77,87,also
although,although,ɒ:l'ðou,"conj. Grant all this; be it that; supposing that;
   notwithstanding; though.","conj. 虽然, 尽管",c:100,5,1,zk gk cet4 ky,197,378,although
always,always,'ɒ:lweiz,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time","adv. 总是, 始终",r:100,5,1,zk gk,185,206,always
America,america,ә'merikә,n. North America and South America and Central America,"n. 美洲, 美国",,0,0,zk gk ielts,973,0,america
American,american,ә'merikәn,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture","n. 美国人
a. 美国的, 美洲的",j:74/n:26,0,0,zk gk ielts,636,176,american
among,among,ә'mʌŋ,prep. Alt. of Amongst,prep. 在...之中,i:100,5,1,zk gk,418,279,among
ancient,ancient,'einʃәnt,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old","a. 古代的, 古老的, 年老的, 旧的",j:97/n:3,3,1,zk gk cet4 cet6 ky ielts,1841,1817,ancient
and,and,ænd,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj.","conj. 和, 与
[计] 与",c:99/n:1,5,1,zk gk,4,3,and
angry,angry,'æŋgri,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful","a. 生气的, 愤怒的",j:100,3,1,zk gk ielts,2084,1705,angry
animal,animal,'ænimәl,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body","n. 动物
[医] 动物",j:1/n:99,4,1,zk gk ielts,652,728,animal
another,another,ә'nʌðә,s. any of various alternatives; some other,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个",p:6/d:94,5,1,zk gk,150,145,another
answer,answer,'ɑ:nsә,"n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
n. the speech act of replying to a question
n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims
n. a nonverbal reaction","n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组",i:2/v:48/n:50,5,1,zk gk,808,767,answer
ant,ant,ænt,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,n. 蚂蚁,n:100,1,0,zk gk cet4 ky,5833,5811,ant
any,any,'eni,"s. one or some or every or all without specification
r. to any degree or extent","a. 任何的
pron. 任何",r:2/d:98,5,1,zk gk,78,109,any
anybody,anybody,'enibɒdi,"n. Any one out of an indefinite number of persons; anyone;
   any person.
n. A person of consideration or standing.","pron. 任何人
n. 重要人物",p:100,3,0,zk gk,1840,1380,anybody
anyone,anyone,'eniwʌn,"n. One taken at random rather than by selection; anybody.
   [Commonly written as two words.]",pron. 任何人,p:100,4,1,zk gk cet4 ky,662,659,anyone
anything,anything,'eniθiŋ,"n. Any object, act, state, event, or fact whatever; thing of
   any kind; something or other; aught; as, I would not do it for
   anything.
n. Expressing an indefinite comparison; -- with as or like.
adv. In any measure; anywise; at all.",pron. 任何事,p:96/r:4,5,1,zk gk,315,331,anything
anyway,anyway,'eniwei,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r in any way whatsoever","adv. 无论如何, 至少",r:100,4,1,zk cet4 ky,834,1393,anyway
anywhere,anywhere,'enihwєә,r. at or in or to any place; (`anyplace' is used informally for `anywhere'),adv. 无论何处,r:100,3,1,zk gk cet4 ky,2157,1879,anywhere
appear,appear,ә'piә,"v. come into sight or view
v. be issued or published
v. seem to be true, probable, or apparent
v. come into being or existence, or appear on the scene","vi. 出现, 显得, 来到
[法] 出庭, 到案, 出现",v:100,5,1,zk gk cet4 ky toefl,290,395,appear
apple,apple,'æpl,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits","n. 苹果, 家伙
[医] 苹果",n:100,3,1,zk gk,2446,2695,apple
April,april,'eiprәl,n. the month following March and preceding May,n. 四月,,4,1,zk gk ielts,684,0,april
area,area,'єәriә,"n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
n. a subject of study
n. a part of an animal that has a special function or is supplied by a given artery or nerve
n. a part of a structure having some specific characteristic or function","n. 区域, 面积, 范围, 空地
[计] 区域",n:100,5,1,zk gk cet4 ky ielts,149,230,area
arm,arm,ɑ:m,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation","n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
[计] ARM 处理器；异步应答方式; 自动货品销路管理",v:6/n:94,5,1,zk gk,491,491,arm
army,army,'ɑ:mi,"n. a permanent organization of the military land forces of a nation or state
n. a large number of people united for some specific purpose","n. 军队, 陆军",n:100,5,1,zk gk cet4 ky ielts,818,1539,army
around,around,ә'raund,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference","prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处",i:53/r:47,5,1,zk gk,397,264,around
arrive,arrive,ә'raiv,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top","vi. 到达, 抵达",v:100,4,1,zk gk,708,810,arrive
art,art,ɑ:t,"n. the products of human creativity; works of art collectively
n. the creation of beautiful or significant things
n. a superior skill that you can learn by study and practice and observation","n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",n:100,5,1,zk gk cet4 ky ielts,477,346,art
article,article,'ɑ:tikl,"n. nonfictional prose forming an independent part of a publication
n. one of a class of artifacts
n. a separate section of a legal document (as a statute or contract or will)
n. (grammar) a determiner that may indicate the specificity of reference of a noun phrase","n. 文章, 冠词, 物品, 物件, 条款, 契约
[计] 信件",n:100,4,1,zk gk cet4 ky toefl ielts,1027,731,article
as,as,æz,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')","adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
[计] 高级系统, 先进系统, 辅助存储器, 自治系统",i:34/c:53/r:13,5,1,zk gk ielts,33,33,as
Asia,asia,'eiʒә,"n. the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations
n. the nations of the Asian continent collectively",n. 亚洲,,0,0,zk gk ielts,2720,0,asia
